keypoint_index,keypoint_name,uuid,color
213,midpoint-3-of-upper-inner-lip,7ee79814-b235-4a6c-bed1-9e4b0ac40a57,"(0, 192, 192)"
214,midpoint-4-of-upper-inner-lip,a92ffe87-7573-4e7d-b4e2-2d8887024661,"(0, 192, 192)"
215,midpoint-5-of-upper-inner-lip,1cd7fe90-e0d3-4d42-acf7-ca95634db846,"(0, 192, 192)"
216,midpoint-6-of-upper-inner-lip,f0b0d030-1f92-4ad8-95f1-d5b6ebcb2256,"(0, 192, 192)"
217,midpoint-3-of-lower-inner-lip,ae2127d7-5d67-457e-9b48-bf0b9bf82172,"(0, 192, 192)"
218,midpoint-4-of-lower-inner-lip,055587e2-e9eb-43e8-acdd-57abbc96fe6d,"(0, 192, 192)"
219,midpoint-5-of-lower-inner-lip,d662a31e-8e38-4e7d-b24d-2ff2bc4fd0ff,"(0, 192, 192)"
220,midpoint-6-of-lower-inner-lip,eb9ea7e7-cbcc-4bd6-b5a5-77a3c0911127,"(0, 192, 192)"
221,teeth,'null',"(None, None, None)"
222,teeth,'null',"(None, None, None)"
223,teeth,'null',"(None, None, None)"
224,teeth,'null',"(None, None, None)"
225,teeth,'null',"(None, None, None)"
226,teeth,'null',"(None, None, None)"
227,teeth,'null',"(None, None, None)"
228,teeth,'null',"(None, None, None)"
229,teeth,'null',"(None, None, None)"
230,teeth,'null',"(None, None, None)"
231,teeth,'null',"(None, None, None)"
232,teeth,'null',"(None, None, None)"
233,teeth,'null',"(None, None, None)"
234,teeth,'null',"(None, None, None)"
235,teeth,'null',"(None, None, None)"
236,teeth,'null',"(None, None, None)"
237,teeth,'null',"(None, None, None)"
238,teeth,'null',"(None, None, None)"
239,teeth,'null',"(None, None, None)"
240,teeth,'null',"(None, None, None)"
241,teeth,'null',"(None, None, None)"
242,teeth,'null',"(None, None, None)"
243,teeth,'null',"(None, None, None)"
244,teeth,'null',"(None, None, None)"
245,teeth,'null',"(None, None, None)"
246,teeth,'null',"(None, None, None)"
247,teeth,'null',"(None, None, None)"
248,teeth,'null',"(None, None, None)"
249,teeth,'null',"(None, None, None)"
250,teeth,'null',"(None, None, None)"
251,teeth,'null',"(None, None, None)"
252,teeth,'null',"(None, None, None)"
253,teeth,'null',"(None, None, None)"
254,teeth,'null',"(None, None, None)"
255,teeth,'null',"(None, None, None)"
256,teeth,'null',"(None, None, None)"
257,l-top-end-of-inferior-crus,d46e3a43-c337-4db8-b993-4b921302b211,"(200, 200, 0)"
